n_I,n_II,n_III,n_IV,n_V,n_s,m_R,m_NR,n_c,n_v,dm_R,dm_NR,Time (s)
369388.1206864735,624700.8226443748,624801.7515586272,624802.1708645658,624802.1820500323,624802.1820826433,3166159.42652871,327170.93790023244,33.13454221815178,1.2591631529619276e-12,1049.0924318771479,0.10840659254407567,96.0
351319.47068929474,628088.0636162336,628202.4359247293,628202.9237621156,628202.9368904184,628202.9369298293,3165082.8089526924,327170.8266304649,34.86777052894229,1.5303248066909162e-12,1103.5938108766256,0.1140771730671541,97.0
332362.60037936247,631641.0402067022,631770.6044189039,631771.1716874144,631771.1870870241,631771.1871346177,3163953.558557073,327170.70988039376,36.477523434545354,1.8578963739024863e-12,1154.131900780788,0.11934377236758903,98.0
312595.2297064631,635344.9724082743,635491.6973842555,635492.3566670457,635492.3747203973,635492.3747778302,3162776.336522298,327170.5881263413,37.918984366041315,2.2532006830685924e-12,1199.2926645787445,0.12405976416191278,99.0
292119.7737796917,639180.4131278591,639346.514410408,639347.2802234495,639347.3013754643,639347.3014447194,3161557.266718272,327170.46199646336,39.14435313578699,2.729751928886773e-12,1237.5711410743356,0.1280687609998814,100.0
271064.5738123875,643123.0134561948,643310.9823385673,643311.87141391,643311.8961817672,643311.8962652157,3160304.005436405,327170.33227833797,40.104246692964786,3.3036647088744823e-12,1267.4161145878634,0.13120919716309726,101.0
249584.25801670284,647143.4513089948,647356.0868160505,647357.1184228074,647357.14740712,647357.1475075944,3159025.759135269,327170.1999212039,40.74957719511092,3.9941367668039325e-12,1287.2896403322654,0.13332047317628973,102.0
227858.97476017836,651207.5719707343,651448.0159229193,651449.2122300088,651449.2461275738,651449.2462484542,3157733.2351408023,327170.0660312601,41.03391218589556,4.824018287027448e-12,1295.7414827725158,0.1342506775938038,103.0
206092.25106219394,655276.787072317,655548.5623927385,655549.9488776642,655549.9884959719,655549.9886412867,3156438.5109627494,327169.93185850343,40.91627907227042,5.820482716090945e-12,1291.4971898901356,0.13386576235978223,104.0
184507.26558985055,659308.7717690516,659615.8241885898,659617.4300968198,659617.476370517,659617.4765450611,3155154.8100944487,327169.798773805,40.364308357167,7.015816303609943e-12,1273.5564166925103,0.13205982642858144,105.0
163341.3939694841,663258.4869832892,663605.2302991438,663607.0891589862,663607.1431685118,663607.1433779852,3153896.176267983,327169.6682353449,39.35754592125379,8.448346855405274e-12,1241.2961358833388,0.12876595241613956,106.0
142839.00955677882,667079.5300016102,667470.8950553071,667473.0452535732,667473.1082462014,667473.1084973693,3152677.045543289,327169.5417442983,37.89067674007179,1.0163534627453844e-11,1194.5706679852535,0.12396675345430631,107.0
123242.66731845282,670725.7895114485,671167.2770802596,671169.7625045719,671169.8359181244,671169.8362190055,3151511.724090655,327169.42079055344,35.97632933895457,1.2215252769062278e-11,1133.7982370146194,0.11770354831995962,108.0
104782.99344247267,674153.3444448556,674651.0822909955,674653.9530453796,674654.038534905,674654.0388949882,3150413.7909334768,327169.30679044494,33.64707031921275,1.466728767686777e-11,1060.0219435815632,0.11008288671866191,109.0
